sample_id,read_count
magic.0340,18226
magic.0341,39623
magic.0342,32219
magic.0343,2998
magic.0344,22865
magic.0348,41743
magic.0349,1210941
magic.0351,64154
magic.0353,231811
magic.0358,43517
magic.0360,2430
magic.0361,28262
magic.0363,3581
magic.0364,620
magic.0365,1757814
magic.0367,3163
magic.0368,3971
magic.0369,363555
magic.0370,11968
magic.0372,2624
magic.0374,38
magic.0375,61105
magic.0377,221714
magic.0378,2280
magic.0379,7198
magic.0380,2352308
magic.0385,139718
magic.0386,48374
magic.0387,131938
magic.0389,13665
magic.0390,6786
magic.0392,3206
magic.0394,423
magic.0395,56697
magic.0396,1407
magic.0397,15888
magic.0398,17923
magic.0399,1592
magic.0400,807
magic.0401,8502
magic.0402,4738
magic.0403,102757
magic.0406,110492
magic.0408,12578
magic.0409,209707
magic.0410,109556
magic.0411,42899
magic.0413,26770
magic.0414,16714
magic.0415,6358
magic.0416,11132
magic.0417,97
magic.0418,2767
magic.0419,37
magic.0420,28659
magic.0421,2498072
magic.0422,390
magic.0423,552
magic.0426,4548
magic.0427,44362
magic.0428,6851
magic.0429,1794
magic.0430,20886
magic.0431,38942
magic.0432,3674
magic.0433,631
magic.0434,971949
magic.0435,8505
magic.0436,892
magic.0437,5496
magic.0438,5562
magic.0439,485
magic.0440,95247
magic.0441,5382
magic.0442,23553
magic.0444,18049
magic.0445,39418
magic.0447,1844
magic.0448,119888
magic.0449,78853
magic.0450,273623
magic.0451,4209
magic.0452,62
magic.0453,105048
magic.0455,1053662
magic.0456,4259
magic.0457,16288
magic.0458,10203
magic.0459,223
magic.0460,55385
magic.0461,575
magic.0462,93715
magic.0464,56905
magic.0465,7455
magic.0467,289
magic.0470,72577
magic.0471,1203
magic.0472,45434
magic.0473,57
magic.0475,417
magic.0477,20228
magic.0478,54168
magic.0480,190258
magic.0481,586753
magic.0482,3253079
magic.0484,1
magic.0485,83324
magic.0487,54418
magic.0490,2209969
magic.0493,645077
magic.0495,6172271
magic.0496,107719
magic.0497,406416
magic.0498,11699
magic.0499,11392
magic.0500,1729
magic.0502,47474
magic.0503,50516
magic.0506,8820
magic.0512,54979
magic.0513,3873
magic.0514,32510
magic.0515,19166
magic.0516,877
magic.0517,108196
magic.0518,10674
magic.0519,25683
magic.0520,1771
magic.0522,712
magic.0524,1305478
magic.0525,2456327
magic.0526,53
magic.0527,488
magic.0529,643
magic.0531,499
magic.0532,165
magic.0533,1330034
magic.0534,125107
magic.0535,292628
magic.0536,434425
magic.0537,58
magic.0538,406937
magic.0539,899
magic.0541,586
magic.0542,2256
magic.0543,49
magic.0544,74107
magic.0546,2645
magic.0547,7627
magic.0548,31819
magic.0549,1869
magic.0551,31155
magic.0552,56
magic.0553,6543
magic.0554,201238
magic.0555,442165
magic.0558,473049
magic.0559,10674
magic.0560,3289
magic.0561,1419
magic.0563,25571
magic.0564,797
magic.0569,547239
magic.0570,47910
magic.0571,5965
magic.0572,377351
magic.0573,178679
magic.0574,148350
magic.0577,88
magic.0579,3507
magic.0580,872
magic.0583,37396
magic.0584,16817
magic.0585,14484
magic.0587,368
magic.0588,248799
magic.0589,20452
magic.0590,1621
magic.0592,4780
magic.0593,3341
magic.0594,4789
magic.0597,4691
magic.0600,70005
magic.0601,53666
magic.0602,5971
magic.0604,31591
magic.0605,125140
magic.0606,2798
magic.0608,1789436
magic.0609,6222
magic.0610,1101
magic.0612,946823
magic.0614,61801
magic.0615,16995
magic.0618,7456
magic.0619,22655
magic.0620,30733
magic.0621,63404
magic.0622,2731
magic.0624,7174
magic.0625,14819
magic.0626,1401
magic.0627,5089
magic.0628,95370
magic.0630,180244
magic.0631,63719
magic.0632,1817
magic.0633,315
magic.0634,615
magic.0635,3091302
magic.0637,777562
magic.0638,992
magic.0640,13325
magic.0643,11523
magic.0644,35273
magic.0645,114362
magic.0646,416
magic.0647,5307
magic.0648,113
magic.0649,1462
magic.0651,670
magic.0652,4360
magic.0653,4722
magic.0654,14506
magic.0655,3801
magic.0656,7450
magic.0657,37349
magic.0658,1454
magic.0659,2399
magic.0662,157059
magic.0663,133
magic.0664,535613
magic.0665,191189
magic.0666,232197
magic.0667,135185
magic.0671,2569
magic.0672,11614
magic.0673,60554
magic.0674,26730
magic.0676,535657
magic.0677,1079
magic.0678,167068
magic.0679,8107
magic.0680,34782
magic.0681,358
magic.0683,12887
magic.0684,3375
magic.0687,158687
magic.0690,129715
magic.0691,16804
magic.0692,4134
magic.0694,51452
magic.0695,17004
magic.0696,476
magic.0697,672
magic.0699,1633973
magic.0700,46393
magic.0701,156402
magic.0703,490
magic.0704,1759
magic.0705,238330
magic.0706,3519
magic.0707,796458
magic.0710,4344
magic.0711,6147
magic.0712,10191
magic.0713,569
magic.0714,2134
magic.0715,3271454
magic.0716,148
magic.0717,736
magic.0718,8680
magic.0719,22722
magic.0721,18924
magic.0722,456313
magic.0723,623366
magic.0724,71015
magic.0725,379588
magic.0727,596
magic.0729,2381436
magic.0730,525
magic.0731,2073
magic.0732,1135813
magic.0733,2348230
magic.0734,68026
magic.0735,1569094
magic.0737,12427846
magic.0738,71189
magic.0739,130839
magic.0740,384360
magic.0742,36301
magic.0743,5389
magic.0744,413975
magic.0746,7178
magic.0747,8105
magic.0748,209468
magic.0749,849
magic.0752,15787
magic.0753,152
magic.0754,15072
magic.0755,9029
magic.0756,750
magic.0759,11549
magic.0761,825053
magic.0762,2429554
magic.0763,122241
magic.0765,839
magic.0766,2016833
magic.0767,4669
magic.0768,6502909
magic.0769,51002
magic.0771,635286
magic.0772,37698
magic.0773,276
magic.0775,12585
magic.0777,142
magic.0778,222
magic.0779,115
magic.0780,21072
magic.0781,5086
magic.0782,1649
magic.0783,20849
magic.0784,711
magic.0785,54
magic.0786,15947
magic.0788,138887
magic.0790,1770
magic.0792,308398
magic.0794,65501
magic.0795,1167255
magic.0796,342
magic.0797,507
magic.0800,876432
magic.0802,1075
magic.0803,31760
magic.0806,239
magic.0807,3276
magic.0808,454342
magic.0811,29705
magic.0812,2182
magic.0813,178322
magic.0814,2062
magic.0815,273
magic.0816,1483
magic.0817,1181385
magic.0818,2045
magic.0819,2857270
magic.0820,369320
magic.0821,6279777
magic.0822,102097
magic.0824,544
magic.0825,3011830
magic.0827,474091
magic.0828,21158
magic.0829,79841
magic.0830,148537
magic.0831,568
magic.0832,1159
magic.0834,94134
magic.0835,85108
magic.0836,96466
magic.0837,3521
magic.0839,7937
magic.0840,1245
magic.0841,312
magic.0842,19675
magic.0844,5364
magic.0845,20537
magic.0846,119
magic.0847,2540
magic.0848,7469
magic.0849,180641
magic.0850,33
magic.0853,995294
magic.0855,20322
magic.0856,1007
magic.0857,32048
magic.0859,2959
magic.0860,1994
magic.0862,3671
magic.0865,656
magic.0866,2101
magic.0867,111
magic.0868,784
magic.0870,5249
magic.0871,404
magic.0872,906575
magic.0873,1965296
magic.0874,732
magic.0875,8676
magic.0876,279
magic.0877,579363
magic.0878,8734
magic.0879,310
magic.0880,372
magic.0881,5882
magic.0882,13631
magic.0883,1013
magic.0884,530585
magic.0885,555
magic.0886,1399661
magic.0887,148118
magic.0888,1395
magic.0889,7796
magic.0890,763257
magic.0891,263162
magic.0893,306
magic.0894,292
magic.0895,112728
magic.0896,22036
magic.0898,19944
magic.0901,23061
magic.0902,51907
magic.0903,408
magic.0904,579
magic.0905,892533
magic.0906,32751
magic.0908,228559
magic.0909,15619
magic.0910,9180
magic.0911,135360
magic.0913,515
magic.0914,14597
magic.0916,222033
magic.0918,3544
magic.0920,70580
magic.0921,7204
magic.0922,2142
magic.0929,571
magic.0930,263895
magic.0931,5055
magic.0933,32503
magic.0934,22084
magic.0935,1849
magic.0936,3105
magic.0937,1554559
magic.0938,384
magic.0939,235257
magic.0940,1205
magic.0941,196006
magic.0942,606
magic.0943,6032
magic.0944,28090
magic.0946,127
magic.0947,162
magic.0949,22643
magic.0950,61882
magic.0951,5939
magic.0952,332839
magic.0954,124
magic.0955,66400
magic.0956,4603
magic.0957,2027
magic.0959,512
magic.0960,148
magic.0961,13434
magic.0962,19415
magic.0963,118101
magic.0964,854988
magic.0966,2144
magic.0967,253
magic.0970,5114
magic.0972,157861
magic.0973,758
magic.0974,22093
magic.0975,43975
magic.0976,5003612
magic.0977,360991
magic.0978,1406436
magic.0979,61110
magic.0983,2801
magic.0985,1060
magic.0986,909
magic.0987,16294
magic.0988,91
magic.0989,2435
magic.0990,80637
magic.0991,28139
magic.0993,224
magic.0998,33252
magic.0999,3795
magic.1000,1356
magic.1001,32984
magic.1002,1347914
magic.1003,30689
magic.1004,98268
magic.1005,38222
magic.1006,2511
magic.1008,8451
magic.1009,4834
magic.1010,5095
magic.1011,5034
magic.1013,49992
magic.1016,566
magic.1017,628
magic.1018,76992
magic.1021,239974
magic.1022,338777
magic.1023,4233
magic.1027,352162
magic.1028,950302
magic.1029,234870
magic.1031,50032
magic.1032,2820
magic.1033,28640
magic.1034,232190
magic.1036,85562
magic.1037,41150
magic.1038,4502496
magic.1039,686
magic.1040,144553
magic.1041,79706
magic.1043,6807
magic.1044,51565
magic.1045,6473588
magic.1046,9501
magic.1047,15093
magic.1048,22664
magic.1049,2413
magic.1050,449718
magic.1053,98179
magic.1054,182
magic.1056,272343
magic.1057,277
magic.1059,189
magic.1061,2152
magic.1062,2853
magic.1063,1418
magic.1064,1916
magic.1065,358
magic.1066,1396
magic.1068,861
magic.1070,44927
magic.1071,14905
magic.1074,626
magic.1075,45338
magic.1076,10794
magic.1078,10781
magic.1079,6725
magic.1080,2080
magic.1081,4791
magic.1082,82952
magic.1083,1681
magic.1085,402
magic.1086,2201
magic.1089,5318
magic.1090,892
magic.1091,128
magic.1093,13589
magic.1094,91032
magic.1095,4651
magic.1097,1177
magic.1099,1109
magic.1101,34
magic.1103,5033212
magic.1104,21512
magic.1105,3770
magic.1106,388
magic.1109,2133
magic.1112,785
magic.1113,1385
magic.1114,392686
magic.1115,543
magic.1116,3177
magic.1118,952
magic.1119,111
magic.1120,1200
magic.1121,48040
magic.1122,8937
magic.1124,283
magic.1126,3945
magic.1127,268952
magic.1129,1385
magic.1130,48976
magic.1131,17289
magic.1132,3169
magic.1133,1612
magic.1134,1144316
magic.1135,4270
magic.1136,8583
magic.1137,162506
magic.1138,54341
magic.1139,34
magic.1142,1228
magic.1143,629
magic.1144,4580
magic.1145,334
magic.1147,24487
magic.1150,777
magic.1151,171559
magic.1153,2412
magic.1154,58359
magic.1155,437
magic.1156,69
magic.1157,6100
magic.1158,17486
magic.1159,448
magic.1160,6927
magic.1161,5585
magic.1163,5154
magic.1169,1863
magic.1170,155963
magic.1171,1928
magic.1172,3067
magic.1173,12320
magic.1174,124845
magic.1175,7907
magic.1176,145
magic.1178,163
magic.1179,841
magic.1180,16042
magic.1181,1468
magic.1182,106151
magic.1184,642220
magic.1186,485943
magic.1187,3840
magic.1188,931
magic.1189,3393
magic.1190,650
magic.1191,1261
magic.1192,8017509
magic.1194,3051
magic.1195,52370
magic.1196,3000
magic.1197,4255
magic.1198,869
magic.1199,377
magic.1200,5614
magic.1202,19545
magic.1203,163933
magic.1204,88233
magic.1206,2630
magic.1207,2806
magic.1208,117
magic.1209,1973
magic.1210,117899
magic.1213,5831
magic.1214,270
magic.1215,7328
magic.1216,3055
magic.1217,23677
magic.1218,21547
magic.1220,15032
magic.1221,2278
magic.1222,14535
magic.1223,69686
magic.1224,154
magic.1225,232333
magic.1226,1595246
magic.1227,4268
magic.1228,1412792
magic.1230,616607
magic.1232,24629
magic.1234,107959
magic.1235,3261
magic.1236,6391
magic.1237,3884
magic.1238,5407
magic.1239,8412
magic.1241,9567
magic.1242,4284
magic.1245,2681
magic.1247,2710
magic.1248,29043
magic.1251,202
magic.1252,2522
magic.1254,2513
magic.1255,12865
magic.1256,569
magic.1257,699
magic.1258,80
magic.1260,4077
magic.1261,399
magic.1262,31
magic.1264,16050
magic.1265,125
magic.1268,13691
magic.1269,187753
magic.1271,4078
magic.1272,4077
magic.1273,917
magic.1274,6333
magic.1275,171
magic.1276,3661
magic.1277,11177
magic.1278,42981
magic.1279,607970
magic.1280,46298
magic.1281,2826649
magic.1282,2055
magic.1283,30460
magic.1285,2226
magic.1286,1564
magic.1287,2534
magic.1288,3588
magic.1289,1577
magic.1290,2480
magic.1291,2519
magic.1292,1880
magic.1293,811
magic.1294,1602571
magic.1295,2005
magic.1296,3482
magic.1297,257
magic.1298,1961
magic.1300,310
magic.1301,1996
magic.1302,7939
magic.1303,12224
magic.1304,2492
magic.1305,500
magic.1306,13768
magic.1307,163
magic.1309,15330
magic.1310,4088
magic.1311,73350
magic.1312,1962
magic.1313,1986
magic.1314,13079
magic.1316,11119
magic.1317,218492
magic.1318,8002
magic.1319,17129
magic.1320,4043
magic.1321,2803
magic.1322,250938
magic.1323,23174
magic.1325,45722
magic.1326,2329
magic.1327,14398
magic.1328,59247
magic.1330,1846
magic.1331,94744
magic.1332,470612
magic.1333,32005
magic.1334,63233
magic.1335,1575
magic.1336,2465
magic.1337,5245
magic.1338,84307
magic.1339,952
magic.1341,257311
magic.1342,18299
magic.1343,43383
magic.1345,29279
magic.1348,26586
magic.1349,1161
magic.1351,9675
magic.1352,1067
magic.1353,7895
magic.1354,3316
magic.1356,3584160
magic.1358,7794
magic.1360,100
magic.1362,2079
magic.1363,2215
magic.1365,62653
magic.1366,6029
magic.1367,49
magic.1368,1499000
magic.1369,1237
magic.1370,14846
magic.1373,4432
magic.1374,3298
magic.1376,53293
magic.1377,32635
magic.1379,2005
magic.1382,43229
magic.1383,97566
magic.1386,385135
magic.1387,70881
magic.1388,3515
magic.1391,11023
magic.1394,8647
magic.1395,1008
magic.1396,2479
magic.1397,33242
magic.1398,6712
magic.1399,108719
magic.1400,2305
magic.1402,3520
magic.1403,15090
magic.1404,17006
magic.1405,11
magic.1407,7180
magic.1408,28984
magic.1412,50284
magic.1413,41097
magic.1414,231
magic.1415,3177266
magic.1417,2752
magic.1418,2090
magic.1419,542611
magic.1420,26761
magic.1424,703099
magic.1425,215326
magic.1426,11498
magic.1427,7564
magic.1428,6905
magic.1429,231
magic.1430,3257
magic.1431,20886
magic.1432,29797
magic.1433,2982
magic.1434,30617
magic.1435,153
magic.1436,73099
magic.1437,39
magic.1438,215647
magic.1440,5557
magic.1442,176798
magic.1443,5599
magic.1444,72
magic.1445,6980
magic.1446,528
magic.1448,1378
magic.1450,137749
magic.1451,257
magic.1452,244
magic.1453,865
magic.1455,3958
magic.1456,666128
magic.1457,55833
magic.1460,207331
magic.1461,1635
magic.1462,115887
magic.1463,1012
magic.1464,175074
magic.1465,801
magic.1467,110125
magic.1468,11171
magic.1469,4392
magic.1470,95389
magic.1471,55369
magic.1472,1306563
magic.1473,169
magic.1474,620
magic.1475,558
magic.1476,1230
magic.1478,18963
magic.1479,68894
magic.1480,5353
magic.1481,11182
magic.1482,130
magic.1484,358654
magic.1485,373
magic.1486,2934
magic.1488,112346
magic.1489,126456
magic.1490,1828
magic.1493,5608
magic.1494,24752
magic.1495,73297
magic.1496,4181
magic.1497,49806
magic.1499,1268
magic.1501,1761
magic.1502,50873
magic.1504,2997
magic.1506,35146
magic.1508,3707
magic.1510,3677
magic.1511,5904
magic.1514,509
magic.1516,22816
magic.1518,17737
magic.1519,13166
magic.1521,1101
magic.1523,26044
magic.1525,4044
magic.1526,2711
magic.1527,829
magic.1528,249
magic.1529,12698
magic.1530,3821
magic.1534,7525
magic.1536,9620
magic.1537,57024
magic.1538,21116
magic.1539,1770
magic.1540,83390
magic.1541,96
magic.1542,410
magic.1543,2191
magic.1546,74616
magic.1553,66414
magic.1555,1581461
magic.1557,538
magic.1558,89811
magic.1559,1210
magic.1560,1487367
magic.1562,143
magic.1564,25564
magic.1565,1125
magic.1566,71577
magic.1567,418
magic.1568,137401
magic.1570,4312
magic.1571,127025
magic.1574,349
magic.1575,505
magic.1576,768
magic.1577,11993
magic.1579,222633
magic.1581,993763
magic.1582,72995
magic.1583,199
magic.1584,2567
magic.1585,35253
magic.1587,1905
magic.1588,42421
magic.1589,897060
magic.1591,5994
magic.1594,34
magic.1595,1405
magic.1596,3120
magic.1598,989
magic.1599,149680
magic.1601,82
magic.1602,9806
magic.1603,1496
magic.1604,1589
magic.1605,332
magic.1607,143
magic.1608,1020
magic.1610,37823
magic.1611,3198
magic.1612,14423
magic.1613,1941
magic.1615,364
magic.1616,292464
magic.1617,580920
magic.1618,2314
magic.1620,80510
magic.1621,1200
magic.1622,92
magic.1623,1184
magic.1624,27732
magic.1626,1699
magic.1630,1174
magic.1631,3519
magic.1633,12016
magic.1634,45139
magic.1636,3456
magic.1637,750
magic.1639,870
magic.1640,57694
magic.1641,44427
magic.1642,7343
magic.1643,113702
magic.1644,133151
magic.1645,977426
magic.1646,19478
magic.1647,832
magic.1648,1657589
magic.1649,7134998
magic.1650,856
magic.1651,1414
magic.1653,360
magic.1654,559
magic.1655,44695
magic.1656,147
magic.1657,7135
magic.1658,935
magic.1659,3702
magic.1661,1539
magic.1662,44793
magic.1663,699
magic.1666,22
magic.1667,705
magic.1668,10378
magic.1669,9545
magic.1670,113
magic.1672,148110
magic.1673,202839
magic.1674,2206
magic.1675,688
magic.1676,11684
magic.1679,482
magic.1680,680
magic.1681,835
magic.1683,4026
magic.1684,504366
magic.1685,338
magic.1686,765
magic.1687,19108
magic.1688,2529
magic.1690,9614
magic.1691,2820
magic.1693,3823
magic.1694,10719
magic.1695,1467514
magic.1696,6819
magic.1697,692526
magic.1699,13972
magic.1700,37337
magic.1701,23323
magic.1703,6236
magic.1705,236
magic.1706,4193
magic.1707,2137
magic.1708,4588
magic.1709,1782
magic.1710,16069
magic.1711,1028096
magic.1713,48651
magic.1714,324
magic.1716,5316
magic.1717,9683
magic.1718,2816
magic.1719,5223
magic.1720,919
magic.1721,19834
magic.1722,74887
magic.1725,653466
magic.1726,9192
magic.1727,917
magic.1728,5941301
magic.1729,10385
magic.1730,13576
magic.1732,915
magic.1734,251
magic.1737,35418
magic.1740,13233
magic.1741,1876
magic.1743,12172
magic.1745,149882
magic.1747,12272752
magic.1748,394
magic.1749,886
magic.1750,1276
magic.1751,82796
magic.1752,3065
magic.1753,248
magic.1755,210686
magic.1757,264180
magic.1759,78920
magic.1761,2239
magic.1763,26081
magic.1764,1177
magic.1765,670624
magic.1766,3823
magic.1767,387
magic.1768,13776
magic.1769,63342
magic.1771,4035
magic.1772,3500107
magic.1774,87038
magic.1776,5501
magic.1777,828
magic.1780,5251
magic.1781,102
magic.1782,1609
magic.1783,380
magic.1784,784
magic.1785,1347
magic.1786,2357
magic.1789,1965675
magic.1790,1231
magic.1791,1005
magic.1792,1992
magic.1793,122178
magic.1794,8896
magic.1795,68
magic.1797,573337
magic.1798,1898
magic.1801,760
magic.1803,30850
magic.1805,2497
magic.1806,2035
magic.1809,61501
magic.1811,1163355
magic.1812,20393
magic.1816,41438
magic.1817,1583
magic.1819,33690
magic.1820,14558
magic.1821,8495
magic.1823,3839
magic.1825,2557
magic.1826,1458713
magic.1827,2972
magic.1829,18297852
magic.1830,11803
magic.1831,9396
magic.1834,87605
magic.1835,40003
magic.1836,15686
magic.1837,685
magic.1838,2584
magic.1839,8575
magic.1840,376
magic.1841,1454
magic.1844,2381
magic.1846,3306
magic.1847,2149
magic.1848,4251
magic.1850,428
magic.1851,1731
magic.1854,4755
magic.1858,618587
magic.1859,66662
magic.1860,274
magic.1861,1578
magic.1862,3170
magic.1864,3063
magic.1865,12675
magic.1866,407190
magic.1867,7120
magic.1868,39855
magic.1869,9618
magic.1871,1035
magic.1872,3462
magic.1873,5925
magic.1875,40063
magic.1876,1717
magic.1877,4289
magic.1879,2304
magic.1881,24903
magic.1882,277131
magic.1883,3338
magic.1884,2342
magic.1885,2870
magic.1888,2351
magic.1889,6850
magic.1890,2245
magic.1891,4248
magic.1892,1670
magic.1893,55
magic.1895,5502
magic.1896,27466
magic.1898,28266
magic.1900,10946123
magic.1901,4268
magic.1902,7675
magic.1903,2415606
magic.1904,52182
magic.1906,2415
magic.1908,43156
magic.1909,4836
magic.1911,4377
magic.1912,34990
magic.1914,33935
magic.1915,7362
magic.1918,2356
magic.1919,2878
magic.1920,32700
magic.1921,31692
magic.1922,3206
magic.1923,194265
magic.1924,428
magic.1926,340507
magic.1927,4441
magic.1928,18665
magic.1930,54684
magic.1932,5947
magic.1933,150148
magic.1934,28069
magic.1935,14307
magic.1936,5324
magic.1938,3130
magic.1939,68351
magic.1940,17069275
magic.1941,5101
magic.1942,4673
magic.1943,18868
magic.1944,588646
magic.1947,157998
magic.1948,2423195
magic.1950,2401
magic.1951,7274
magic.1952,51574
magic.1953,710568
magic.1954,28407
magic.1957,47744
magic.1958,606
magic.1959,401581
magic.1960,24226
magic.1961,93
magic.1962,53729
magic.1963,6148399
magic.1964,713540
magic.1965,46457
magic.1966,453
magic.1967,1406
magic.1968,3114
magic.1969,1184275
magic.1971,4760
magic.1972,538
magic.1973,1191
magic.1974,1047
magic.1975,139148
magic.1977,1490133
magic.1979,1596
magic.1980,20072
magic.1986,5210
magic.1987,78378
magic.1988,4904
magic.1989,4374
magic.1990,7482
magic.1991,47720
magic.1993,148450
magic.1996,124945
magic.1997,178278
magic.1998,53798
magic.1999,1004
magic.2000,975889
magic.2001,1998
magic.2003,1295
magic.2004,934
magic.2006,277303
magic.2007,2469
magic.2008,103128
magic.2009,4560
magic.2010,241737
magic.2012,693
magic.2014,14346
magic.2016,646
magic.2017,3014
magic.2018,6457
magic.2019,6796
magic.2020,1375
magic.2021,112325
magic.2022,848
magic.2024,2392
magic.2025,180
magic.2027,8343
magic.2029,1617
magic.2030,2729
magic.2031,1378
magic.2032,687552
magic.2033,6243
magic.2034,651671
magic.2036,50363
magic.2038,251460
magic.2040,23400
magic.2041,83644
magic.2043,14233
magic.2044,1204
magic.2045,14957
magic.2047,1816
magic.2048,1709
magic.2049,47311
magic.2051,3231
magic.2053,2265
magic.2054,4139
magic.2055,8416
magic.2056,3274
magic.2059,13570
magic.2060,79760
magic.2061,18524716
magic.2063,161
magic.2064,7383
magic.2067,257
magic.2068,170210
magic.2069,888
magic.2070,6869
magic.2071,9126
magic.2072,1630
magic.2073,12668
magic.2074,75626
magic.2075,8768
magic.2077,54690
magic.2079,802387
magic.2080,1948
magic.2082,42168
magic.2086,5380
magic.2088,35050619
magic.2089,1868
magic.2090,3585
magic.2092,384816
magic.2093,93805
magic.2094,2640157
magic.2095,17148
magic.2096,22903
magic.2097,9600
magic.2098,124348
magic.2099,123830
magic.2100,1784
magic.2102,6031
magic.2104,8720
magic.2106,23083
magic.2107,10543
magic.2111,176608
magic.2112,10259
magic.2113,10933
magic.2115,973
magic.2120,7600
magic.2121,227
magic.2122,554
magic.2123,879
magic.2124,4844
magic.2126,155724
magic.2128,1591653
magic.2129,88270
magic.2130,2169
magic.2132,14990
magic.2134,650397
magic.2135,559
magic.2136,46593
magic.2140,7024
magic.2141,162259
magic.2142,131669
magic.2146,111570
magic.2147,10929
magic.2148,331
magic.2149,405
magic.2151,4901
magic.2153,16218
magic.2154,1550912
magic.2155,32173
magic.2156,1938
magic.2157,8290
magic.2158,32139
magic.2159,2539
magic.2161,579
magic.2162,1029
magic.2163,2909
magic.2164,354
magic.2165,2049
magic.2166,3153
magic.2167,5744
magic.2168,83251
magic.2169,10829
magic.2170,402
magic.2171,1153
magic.2173,2420
magic.2174,4513
magic.2175,656
magic.2176,124786
magic.2179,2559
magic.2182,26160
magic.2184,753
magic.2185,409
magic.2186,62603
magic.2187,397934
magic.2188,73099
magic.2189,4968
magic.2192,3807
magic.2193,116267
magic.2195,139
magic.2197,11869
magic.2198,906
magic.2199,1237
magic.2200,5130853
magic.2201,1372
